Mach,CD Power-Off
6.22,0.633634803
6.23,0.633358461
6.24,0.633082571
6.25,0.632807228
6.26,0.632532435
6.27,0.632258088
6.28,0.631984386
6.29,0.631711125
6.3,0.631438406
6.31,0.631166226
6.32,0.630894483
6.33,0.630623375
6.34,0.630352702
6.35,0.630082561
6.36,0.629812949
6.37,0.629543767
6.38,0.629275112
6.39,0.629006983
6.4,0.628739378
6.41,0.628472195
6.42,0.628205532
6.43,0.627939489
6.44,0.627673761
6.45,0.62740855
6.46,0.627143954
6.47,0.62687967
6.48,0.626615996
6.49,0.626352732
6.5,0.626089976
6.51,0.625827724
6.52,0.625565879
6.53,0.625304536
6.54,0.625043694
6.55,0.624783353
6.56,0.624523409
6.57,0.624263963
6.58,0.624004911
6.59,0.623746353
6.6,0.623488287
6.61,0.623230712
6.62,0.622973526
6.63,0.622716828
6.64,0.622460516
6.65,0.622204689
6.66,0.621949345
6.67,0.621694482
6.68,0.62144
6.69,0.621185897
6.7,0.62093237
6.71,0.620679219
6.72,0.620426444
6.73,0.620174241
6.74,0.61992231
6.75,0.61967095
6.76,0.619419958
6.77,0.619169433
6.78,0.618919273
6.79,0.618669579
6.8,0.618420248
6.81,0.618171379
6.82,0.61792297
6.83,0.61767492
6.84,0.617427328
6.85,0.617180193
6.86,0.616933411
6.87,0.616686985
6.88,0.616441109
6.89,0.616195585
6.9,0.615950411
6.91,0.615705685
6.92,0.615461306
6.93,0.615217373
6.94,0.614973883
6.95,0.614730738
6.96,0.614488033
6.97,0.614245669
6.98,0.614003745
6.99,0.613762159
7,0.613536259
7.01,0.613342374
7.02,0.613149164
7.03,0.612956617
7.04,0.612764631
7.05,0.612573215
7.06,0.612382459
7.07,0.612192361
7.08,0.612002819
7.09,0.611813823
7.1,0.611625491
7.11,0.611437793
7.12,0.611250656
7.13,0.611064148
7.14,0.610878193
7.15,0.610692863
7.16,0.610508082
7.17,0.610323836
7.18,0.610140315
7.19,0.609957228
7.2,0.609774773
7.21,0.609592939
7.22,0.609411626
7.23,0.60923084
7.24,0.609050773
7.25,0.608871113
7.26,0.608692079
7.27,0.608513558
7.28,0.608335641
7.29,0.608158327
7.3,0.607981532
7.31,0.607805228
7.32,0.607629533
7.33,0.607454336
7.34,0.607279735
7.35,0.60710563
7.36,0.606932019
7.37,0.606759002
7.38,0.606586577
7.39,0.606414633
7.4,0.606243179
7.41,0.606072305
7.42,0.605901909
7.43,0.605732099
7.44,0.605562756
7.45,0.605393898
7.46,0.605225613
7.47,0.605057892
7.48,0.604890542
7.49,0.604723762
7.5,0.604557553
7.51,0.604391803
7.52,0.60422661
7.53,0.604061884
7.54,0.603897614
7.55,0.603733899
7.56,0.603570637
7.57,0.603407827
7.58,0.60324557
7.59,0.603083764
7.6,0.602922498
7.61,0.60276168
7.62,0.60260141
7.63,0.602441578
7.64,0.602282181
7.65,0.602123328
7.66,0.601964911
7.67,0.601806926
7.68,0.601649474
7.69,0.601492453
7.7,0.601335952
7.71,0.601179891
7.72,0.601024248
7.73,0.600869132
7.74,0.600714443
7.75,0.600560269
